Enabled	25								
Number	Type	PositionX	PositionY	PositionZ	ColorRed	ColorGreen	ColorBlue	Attenuation	Shininess
0	2	109.0241125	90.33981913	-4.644135839	0.262745098	0.88627451	0.105882353	0.001536098	106.5771366
1	1	23.88774543	125.2670061	2.801759833	0.517647059	0.254901961	0.090196078	0.008403361	128.8732043
2	3	54.86204037	-159.9268198	8.618888847	0.392156863	0.576470588	0.047058824	0.001273885	173.883442
3	1	75.37138573	-59.28259018	-2.823297051	0.180392157	0.494117647	0.2	0.004504505	120.1417476
4	3	64.41911439	20.65497292	6.119093469	0.882352941	0.909803922	0.454901961	0.003610108	75.16277999
5	3	117.0442369	54.1761219	1.657476526	0.058823529	0.125490196	0.717647059	0.003311258	159.3509697
6	1	-158.5347903	-78.8320705	-0.36653139	0.498039216	0.760784314	0.482352941	0.001030928	194.2786375
7	2	135.8806702	59.70971515	3.027996821	0.901960784	0.474509804	0.529411765	0.008403361	215.2996318
8	2	22.89542614	-124.2906399	4.930201825	0.862745098	0.780392157	0.537254902	0.001461988	152.712101
9	3	-35.24946004	190.953486	10.43054646	0.329411765	0.305882353	0.980392157	0.001474926	145.8499644
10	2	-106.8807641	130.0397075	0.268658933	0.717647059	0.415686275	0.074509804	0.001340483	219.6218156
11	1	196.9907666	153.4353772	6.858421025	0.392156863	0.945098039	0.776470588	0.001067236	7.318431149
12	2	185.3952508	-100.1624841	-1.755911917	0.478431373	0.396078431	0.329411765	0.002409639	98.80543157
13	1	-96.86630267	32.40514506	-3.912152406	0.780392157	0.752941176	0.498039216	0.005050505	200.1131677
14	3	-75.19989621	-42.98754603	-8.665327319	0.188235294	0.764705882	0.623529412	0.001953125	81.0071361
15	1	33.80800034	-192.9459308	-7.189459928	0.105882353	0.066666667	0.905882353	0.005494505	133.878533
16	2	172.3941845	-5.264076303	4.446255638	0.090196078	0.996078431	0.631372549	0.001834862	201.1745371
17	2	114.11246	72.52969588	-0.519413318	0.956862745	0.223529412	0.392156863	0.002538071	150.2274067
18	3	140.6187932	-37.33575909	-1.305273546	0.258823529	0.925490196	0.6	0.001706485	151.1009212
19	2	11.37655423	145.2895198	4.404407042	0.768627451	0.870588235	0.650980392	0.00174216	224.9679755
20	1	128.1882302	-137.6835989	-8.028249796	0.247058824	0.639215686	0.482352941	0.002610966	254.4394765
21	2	99.5227498	-70.8659007	0.400179792	0.619607843	0.549019608	0.980392157	0.001226994	246.2422572
22	1	-68.76971978	178.8837725	-0.824114837	0.988235294	0.6	0.066666667	0.00102145	33.87106972
23	3	-171.5525289	-26.46002899	2.432228907	0.654901961	0.035294118	0.392156863	0.001680672	217.3474861
24	3	10.68422069	181.8659903	-8.213045418	0.933333333	0.364705882	0.474509804	0.00102459	85.54359342
