Enabled	25								
Number	Type	PositionX	PositionY	PositionZ	ColorRed	ColorGreen	ColorBlue	Attenuation	Shininess
0	2	-185.9581246	-75.69763681	-0.115985995	0.454901961	0.431372549	0.066666667	0.000275482	4.555238571
1	2	15.62889128	92.78938741	-9.439773609	0.77254902	0.109803922	0.933333333	0.001053741	19.11639588
2	3	117.5310496	134.6146239	-3.774484424	0.250980392	0.831372549	0.529411765	0.004950495	109.1941377
3	1	2.012558488	35.42030504	4.762408668	0.670588235	0.490196078	0.996078431	0.001048218	26.15265088
4	2	-176.601187	-17.2519576	-9.067924269	0.764705882	0.019607843	0.011764706	0.003030303	79.11419899
5	3	196.4715349	101.5460732	3.460052172	0.011764706	0.917647059	0.843137255	0.003571429	174.0620011
6	3	64.21053088	-70.24091397	8.093954662	0.266666667	0.658823529	0.57254902	0.002754821	19.25237007
7	1	191.489593	-164.8912587	0.823422531	0.996078431	0.341176471	0.462745098	0.001712329	115.5838549
8	1	-15.14849265	10.48227663	-4.92469902	0.556862745	0.729411765	0.549019608	0.001639344	195.2923603
9	3	-10.64153255	-103.5041744	10.47375192	0.411764706	0.290196078	0.666666667	0.001677852	103.4667322
10	2	171.0999542	-57.26589421	4.994982467	0.917647059	0.505882353	0.831372549	0.002136752	116.1377531
11	1	116.4006454	174.9227098	3.902225535	0.266666667	0.835294118	0.490196078	0.002114165	92.61612056
12	2	185.6016896	129.1766065	8.867591087	0.745098039	0.333333333	0.501960784	0.001862197	71.02609257
13	2	146.4083426	-133.7322599	-2.361162544	0.639215686	0.352941176	0.341176471	0.002840909	164.0078584
14	1	170.6946512	118.1020719	-1.468397506	0.635294118	0.615686275	0.360784314	0.001166861	47.76216197
15	1	-35.29520641	181.2059484	9.501668832	0.42745098	0.050980392	0.403921569	0.006060606	239.9914445
16	1	125.6052894	-7.558087894	3.51168132	0.184313725	0.764705882	0.568627451	0.006451613	147.1155859
17	3	47.53466246	-54.92098233	8.714641651	0.266666667	0.807843137	0.254901961	0.001572327	103.1948108
18	3	-35.9652072	-10.43029342	1.1718434	0.862745098	0.654901961	0.549019608	0.001302083	107.672866
19	2	109.2639493	113.4628409	7.89875575	0.337254902	0.780392157	0.184313725	0.001113586	39.56146368
20	1	-37.87121216	-138.6889408	9.401704111	0.235294118	0.184313725	0.129411765	0.004444444	2.648331381
21	3	67.66240468	-66.88954531	6.810464725	0.77254902	0.62745098	0.023529412	0.001631321	237.1741708
22	2	-58.77084388	-175.668087	-9.061565442	0.462745098	0.51372549	0.796078431	0.005847953	132.3357358
23	3	-163.4489743	136.3662276	-4.775921756	0.466666667	0.533333333	0.945098039	0.001694915	23.97864466
24	2	-158.9572737	172.2370828	7.376870661	0.854901961	0.549019608	0.439215686	0.001953125	54.83228452
