Enabled	25								
Number	Type	PositionX	PositionY	PositionZ	ColorRed	ColorGreen	ColorBlue	Attenuation	Shininess
0	1	-50.15636285	-42.61208843	6.209586901	0.764705882	0.698039216	0.294117647	0.001126126	106.2459776
1	1	31.48225794	-144.8364998	7.984115321	0.48627451	0.819607843	0.564705882	0.001949318	20.67278348
2	1	-96.93553667	-146.2481895	-7.948815304	0.403921569	0.070588235	0.988235294	0.001219512	231.2064834
3	1	54.33352401	-126.034754	8.726145677	0.623529412	0.054901961	0.035294118	0.00118624	190.866115
4	2	-171.4536987	191.754691	8.398725431	0.823529412	0.325490196	0.568627451	0.003194888	133.4289176
5	3	96.74104082	-35.4799868	3.233635299	0.08627451	0.478431373	0.749019608	0.001371742	6.812668032
6	3	50.96372843	93.84949792	-0.68626131	0.717647059	0.717647059	0.878431373	0.002702703	91.11668751
7	2	74.09717288	78.85869054	8.455292043	0.631372549	0	0.133333333	0.002159827	228.1903482
8	1	30.87252907	-117.2932776	5.864777984	0.043137255	0.82745098	0.949019608	0.006535948	235.6967575
9	1	-56.74689003	190.064722	-2.201504193	0.776470588	0.160784314	0.054901961	0.003115265	235.8508245
10	3	-105.3782671	-32.67947292	-2.913367394	0.835294118	0.576470588	0.423529412	0.004405286	14.45194433
11	3	91.56211217	44.64024357	-6.826173008	0.11372549	0.568627451	0.909803922	0.001077586	29.91511219
12	3	65.67993748	183.186879	0.515155792	0.388235294	0.278431373	0.57254902	0.007194245	246.3766016
13	1	46.76350505	-159.4343187	8.185634881	0.305882353	0.407843137	0.992156863	0.00173913	173.5003581
14	1	-153.9497823	39.99370669	9.300409502	0.949019608	0.301960784	0.756862745	0.001362398	114.8231816
15	1	82.30483156	-126.9480611	4.760654983	0.125490196	0.541176471	0.91372549	0.002610966	76.79314857
16	3	1.939981859	142.3930663	-0.576776163	0.188235294	0.219607843	0.28627451	0.001335113	120.4483083
17	2	-156.0696129	125.8532866	-0.248906168	0.823529412	0.474509804	0.305882353	0.001085776	197.3512019
18	2	166.8325857	167.8951936	6.689187549	0.784313725	0.729411765	0.811764706	0.004975124	190.2661232
19	2	25.56626804	-58.48240821	1.124291062	0.658823529	0.450980392	0.262745098	0.002512563	217.8824771
20	2	196.6671365	-193.3258162	-3.61369546	0.109803922	0.611764706	0.08627451	0.003861004	95.55192181
21	3	-167.6588677	-5.307228936	8.15317577	0.764705882	0.101960784	0.180392157	0.001404494	105.8760462
22	3	-166.3759235	-39.62200425	-8.377726574	0.396078431	0.058823529	0.466666667	0.003076923	189.1748014
23	3	-31.95567266	40.14932995	1.398167958	0.647058824	0.321568627	0.482352941	0.001079914	184.2424082
24	1	-18.85245355	149.9007611	-9.966773536	0.917647059	0.941176471	0.509803922	0.008130081	191.6602301
