Enabled	25								
Number	Type	PositionX	PositionY	PositionZ	ColorRed	ColorGreen	ColorBlue	Attenuation	Shininess
0	3	-24.50361372	104.3100367	0.611462587	0.031372549	0.490196078	0.329411765	0.000373274	218.8422005
1	2	-162.2564231	-151.9260702	5.258923704	0.615686275	0.439215686	0.121568627	0.007575758	1.366658815
2	1	-18.37012824	-85.78419884	-2.282277251	0.603921569	0.541176471	0.97254902	0.00101626	100.3226433
3	2	185.6662797	-78.05382208	-6.889629398	0.709803922	0.733333333	0.066666667	0.001113586	219.7331517
4	1	52.29410341	-104.3242958	-4.492325993	0.733333333	0.552941176	0.552941176	0.001669449	82.04868991
5	2	196.5017939	-196.9734665	-9.636983288	0.215686275	0.752941176	0.176470588	0.001915709	135.7406994
6	3	1.774480788	185.4286884	0.392361914	0.329411765	0.937254902	0.803921569	0.002564103	193.9267016
7	2	91.99145202	-166.9187396	-7.77314381	0.019607843	0.788235294	0.788235294	0.005586592	226.5548022
8	3	135.7319325	72.46702339	-8.832195031	0.635294118	0.694117647	0.549019608	0.001949318	52.27890271
9	2	-26.46453456	-47.28223814	6.665160814	0.796078431	0.725490196	0.603921569	0.001256281	44.69145801
10	2	86.1347928	-110.0430316	-8.023852616	0.850980392	0.580392157	0.925490196	0.001457726	15.28666512
11	1	93.40590239	90.30606717	10.80269712	0.380392157	0.42745098	0.333333333	0.001466276	115.152051
12	2	-18.69876946	167.1851796	-1.748344812	0.125490196	0.152941176	0.48627451	0.003623188	47.92549119
13	2	130.7253269	-121.6892067	-8.864197362	0.333333333	0.737254902	0.443137255	0.001114827	21.90627851
14	3	85.5407401	175.3090451	4.178542037	0.898039216	0.423529412	0.011764706	0.003663004	239.756783
15	2	93.33357246	-99.14167873	-1.957997077	0.439215686	0.549019608	0.835294118	0.007518797	210.378345
16	2	-110.1077767	142.6140562	4.961539447	0.552941176	0.294117647	0.819607843	0.001464129	152.6997755
17	2	31.91568608	-85.41574017	8.144983321	0.894117647	0.929411765	0.819607843	0.001265823	189.5106742
18	2	138.7031546	-159.468469	2.419950517	0.77254902	0.031372549	0.160784314	0.001207729	206.7951769
19	1	38.43001346	51.30035048	-9.799872621	0.77254902	0.262745098	0.078431373	0.001088139	134.0559221
20	2	67.53323844	26.27834999	6.994228971	0.37254902	0.207843137	0.568627451	0.001117318	241.6443558
21	2	75.6149144	60.20605372	7.473625389	0.411764706	0.682352941	0.294117647	0.003717472	215.5301717
22	3	-99.49251192	-40.36231196	-0.318297886	0.4	0.203921569	0.776470588	0.001009082	108.4732591
23	1	198.1519691	75.96556829	6.472683235	0.501960784	0.580392157	0.533333333	0.001620746	36.33568144
24	1	127.0996556	-163.6523387	-5.535395571	0.764705882	0.141176471	0.905882353	0.001090513	248.3224396
